Date,ASIANPAINT,HDFCBANK,HINDUNILVR,INFY,LT,MARUTI,RELIANCE,SUNPHARMA,TATASTEEL,TCS
01-01-2025,2304.65,1782.75,2322.1,1882.5,3667.5,11208.3,1221.25,1889.95,136.74,4112.45
02-01-2025,2343.25,1793.75,2370,1957.85,3713.5,11841.3,1241.8,1878,138.18,4175.75
03-01-2025,2335.95,1749.2,2406.25,1938.75,3659.9,11934.25,1251.15,1849.65,138.36,4099.9
06-01-2025,2267.15,1710.5,2376.2,1937.85,3603.2,11755.65,1218,1847.4,132.18,4095
07-01-2025,2292.6,1713.4,2390.8,1930.85,3643.3,11721.3,1240.85,1853.4,133.38,4028.3
08-01-2025,2334.35,1694.3,2401,1933.15,3596.35,11822,1265.5,1837.75,132.64,4108.4
09-01-2025,2350.2,1667.8,2435.4,1917.3,3527.9,11740.55,1254.75,1826.35,129.93,4038.85
10-01-2025,2320.75,1656.75,2442.05,1966.95,3536.15,11631.1,1241.9,1784.8,127.43,4265.65
13-01-2025,2252.65,1630.85,2451,1962.2,3464.3,11497.7,1239.85,1746.9,122.93,4291.1
14-01-2025,2239.95,1646.6,2367.95,1940.05,3462.6,11741.15,1238.75,1770.85,126.93,4233.05
15-01-2025,2229.7,1643.05,2373,1949.65,3501.4,11947.4,1252.2,1756.85,126.53,4249.6
16-01-2025,2215.6,1652.05,2345,1928.45,3507.9,12092.3,1266.45,1763.3,127.81,4206.3
17-01-2025,2261,1636.75,2354,1815.45,3568.65,12136.35,1302.35,1786.55,130.28,4124.3
20-01-2025,2280.55,1651.25,2345.2,1813.3,3593,12020.05,1305.45,1778.25,131.66,4077.8
21-01-2025,2260.35,1642.4,2340.5,1800.7,3541.1,11883.7,1273.7,1762.7,129.7,4035.85
22-01-2025,2262.1,1666.05,2342.95,1856.45,3518.2,12020.35,1277.1,1798.95,128.92,4156.6
23-01-2025,2276.35,1664.9,2321.7,1865.45,3503.25,12045.75,1263.65,1833.6,130.37,4145.45
24-01-2025,2262.4,1649.8,2368.1,1875.45,3458.2,11967.9,1246.3,1822.2,129.74,4152.35
27-01-2025,2251.5,1629.8,2392.85,1822,3457.65,11993.85,1229.35,1786.85,126.37,4065.15
28-01-2025,2241.8,1670.4,2388.85,1829.75,3413.9,12123.75,1234.4,1705.5,128.62,4040.3
29-01-2025,2223.15,1677.3,2383.95,1881.25,3449.7,11977.9,1235.5,1735.35,130.8,4099.8
30-01-2025,2249.85,1691.5,2408.75,1859.95,3420.95,12000,1253.05,1739.1,131.12,4100.05
31-01-2025,2300.8,1698.75,2468.8,1879.8,3567.4,12310.65,1265.1,1743.95,134.62,4112.4
01-02-2025,2351.15,1690.95,2506.05,1851.35,3447.5,12916.5,1264.6,1742.2,132.97,4073.15
03-02-2025,2292.25,1678,2441.95,1863.3,3289.2,13139.95,1245.9,1740.6,131.82,4068.65
04-02-2025,2354.35,1720.9,2438.05,1898.8,3439.15,13109.95,1285.2,1765.25,133.42,4107.05
05-02-2025,2275.2,1737.8,2391.05,1897.05,3383.2,13086.8,1278.2,1752.75,134.4,4091.1
06-02-2025,2263.4,1743.85,2372.7,1915.65,3352.75,13074,1281.55,1742,132.54,4082.75
07-02-2025,2271,1732.75,2363.85,1903.65,3336.9,13049.5,1266.7,1749.8,138.31,4029.4
10-02-2025,2270.15,1715.75,2361.45,1880.3,3328.65,12900.75,1253.65,1732.1,134.04,4036.95
11-02-2025,2240.85,1701.4,2315.25,1875.65,3239.65,12724.35,1234.85,1699.75,130.11,3963.55
12-02-2025,2228.25,1706.8,2332.5,1863.15,3289.65,12655.55,1216.55,1693.85,132.28,3950.15
13-02-2025,2236.4,1697.7,2321.5,1843.25,3263.65,12671.3,1216.1,1746.35,136.25,3910.15
14-02-2025,2231.3,1694.85,2318.35,1856.4,3237.65,12680.25,1217.25,1700.5,134.47,3934.85
17-02-2025,2250.85,1717.35,2329.4,1842.3,3221.85,12762.9,1224.9,1714.2,134.29,3904.5
18-02-2025,2237.6,1723.05,2296,1851.95,3220.15,12786.2,1225.4,1701.6,134.54,3873.2
19-02-2025,2239.1,1727.2,2250.4,1810.8,3275.9,12686.15,1227.45,1676.6,135.76,3784.1
20-02-2025,2249.05,1687.1,2248.05,1825.15,3275.8,12440.65,1233,1669.3,138.04,3779.4
21-02-2025,2257.6,1692.5,2241.65,1815,3315.1,12323.45,1228.15,1643.75,140.76,3786
24-02-2025,2246.2,1677.1,2241.45,1764.1,3257.7,12345.2,1214.55,1639.5,137.65,3675.6
25-02-2025,2224.75,1682.35,2259.3,1767.7,3225.9,12476.35,1204,1613.6,137.07,3629.55
27-02-2025,2213.65,1700.7,2244.95,1764.3,3209.5,12380.6,1207.1,1647.5,138.69,3612.55
28-02-2025,2179.75,1732.4,2190.25,1687.7,3163.85,11945.85,1200.1,1593.25,137.2,3483.25
03-03-2025,2166.4,1701.55,2176.85,1708.6,3197.3,11775.6,1171.25,1585.1,138.57,3493.05
04-03-2025,2132.1,1710,2157.35,1688.3,3213,11616.25,1161.9,1566.5,139.34,3532.05
05-03-2025,2164.15,1690,2170.45,1711.5,3239.65,11617.35,1175.6,1582.45,146.1,3547.05
06-03-2025,2267.7,1691.2,2218.95,1715.85,3259.9,11666.4,1209.6,1614,150.44,3601.6
07-03-2025,2270,1689.25,2204.55,1686,3244.7,11664.15,1249.8,1609.3,151.56,3611.2
10-03-2025,2278.6,1687.5,2247.75,1701.45,3177.7,11586.05,1238.4,1611.5,151.05,3589.65
11-03-2025,2287.4,1685.5,2216.95,1661.6,3195.45,11646.95,1247.3,1655.3,150.75,3575.3
12-03-2025,2251.3,1711.15,2192.9,1590.85,3193.65,11640.1,1257.05,1676.85,150.3,3506.2
13-03-2025,2231.3,1706.6,2174.8,1579.85,3187.3,11513.8,1247.9,1683.45,150.88,3511.05
17-03-2025,2219.55,1710.4,2171.25,1590.05,3173.45,11553.7,1238.85,1704.3,151.81,3497.7
18-03-2025,2273.95,1732.2,2201.4,1609.35,3270.7,11714.55,1238.8,1747.8,154.66,3552.45
19-03-2025,2280.7,1744.1,2200.05,1586.55,3319.55,11615.55,1247.15,1732.35,158.6,3497.1
20-03-2025,2287.2,1768.75,2242.4,1615.55,3351.05,11730.2,1269.15,1750.25,159.04,3563.15
21-03-2025,2300.4,1770.35,2246.2,1592.55,3415.95,11732.8,1276.35,1784.5,157.28,3578.1
24-03-2025,2322.5,1800,2256.2,1592.75,3481.85,11922.25,1302.1,1784.8,158.42,3628.95
25-03-2025,2330.75,1821.45,2271.3,1628.45,3469.6,11868.9,1285.45,1764.75,156.73,3657.75
26-03-2025,2323.15,1806.55,2245.95,1599.45,3444.8,11734.3,1273.05,1758.95,155.81,3635.8
27-03-2025,2338.1,1825.35,2244.65,1603.55,3501.6,11721.95,1278.2,1731.45,155.42,3651.2
28-03-2025,2340.65,1828.2,2258.85,1570.65,3492.3,11522.15,1275.1,1734.7,154.24,3606.15
01-04-2025,2316,1767.85,2233.85,1526.5,3436.8,11481.1,1252.6,1698.35,153.12,3550.8
02-04-2025,2306.65,1796.9,2237.9,1550.15,3419.9,11716.1,1251.15,1713.65,154.69,3543.95
03-04-2025,2349.4,1794.85,2244.55,1496.5,3420.15,11688.1,1248.7,1770,153.62,3403.15
04-04-2025,2356.05,1817.3,2244.55,1451.65,3260.15,11482,1204.7,1709.35,140.39,3299.4
07-04-2025,2341.35,1757.7,2249.4,1396.75,3068.5,11329.75,1165.7,1666.35,129.48,3274.05
08-04-2025,2394.2,1769.15,2289.25,1428.8,3161.1,11458.9,1182.2,1688.35,130.28,3292.95
09-04-2025,2411.15,1765,2350,1403.7,3054.15,11457.4,1185.35,1652.2,127.18,3246.6
11-04-2025,2393.6,1806.75,2366.15,1409.45,3115.95,11599.05,1218.95,1687.55,133.42,3231.5
15-04-2025,2415.7,1864.9,2361.5,1426,3257.6,11855,1240.1,1705,136.41,3248.2
16-04-2025,2459.9,1878,2366.6,1413.1,3227.7,11664,1239.3,1693.1,136.97,3273.8
17-04-2025,2467.9,1906.7,2375,1419.5,3247.3,11695,1274.5,1751.5,137.14,3298.9
21-04-2025,2445,1927.1,2351,1451,3280.5,11745,1295.5,1744.9,139.18,3321.6
22-04-2025,2432,1961.7,2398.7,1422.8,3257.8,11734,1291.2,1747.4,138.16,3314.4
23-04-2025,2453.1,1923.9,2423.8,1474.9,3301,11907,1300,1788.8,141.16,3413
24-04-2025,2464.4,1916.8,2325.3,1471.4,3300.6,11894,1301.6,1803.9,141.52,3401.6
25-04-2025,2431.6,1911.2,2332.2,1480.2,3272.1,11698,1300.4,1787.4,138.85,3448
28-04-2025,2452.2,1920.2,2318.6,1482.1,3327.3,11846,1368.8,1841.6,142.07,3443.5
29-04-2025,2451.1,1908.8,2321.7,1497.5,3322.3,11841,1399.7,1805.5,141.5,3472.5
30-04-2025,2425.7,1925,2342.1,1500.1,3341,12257,1405,1832.3,140.08,3453.7
02-05-2025,2409.8,1925,2323.9,1506.8,3329.8,12406,1422.4,1829.4,141.18,3444.7
05-05-2025,2436.9,1936.8,2348.6,1508.6,3330.2,12458,1431.3,1836.6,142.08,3454.3
06-05-2025,2418,1931.7,2381.8,1511.5,3334,12581,1420.9,1819.1,144.44,3460
07-05-2025,2334.1,1945.6,2370.8,1508.3,3321.4,12633,1406,1781.3,146,3445.1
08-05-2025,2302.6,1928.5,2354.9,1511.4,3323.9,12392,1407,1767.2,143.67,3448.9
09-05-2025,2299.6,1889.7,2332.9,1507.6,3443.9,12250,1377.2,1744.8,142.78,3440.3
12-05-2025,2356.4,1957.2,2382.5,1626.9,3587.2,12616,1436.5,1686.2,151.63,3620.4
13-05-2025,2324.6,1922.6,2360,1568.6,3567,12482,1415.7,1700,149.43,3515
14-05-2025,2282.3,1910.6,2350.5,1592.4,3573.1,12670,1424.4,1708.2,155.31,3548.7
15-05-2025,2329.9,1933.8,2355.2,1613,3618.2,12952,1454.2,1740.1,157.35,3579.9
16-05-2025,2353.6,1934.7,2381.4,1589.9,3604.7,12995,1456.4,1734.9,157.55,3561.3
19-05-2025,2331.4,1938.7,2382.7,1559.8,3600.2,12989,1440.8,1730.2,157.57,3518.8
20-05-2025,2295.6,1914.9,2341.1,1560.6,3567.8,12638,1424.6,1707.8,158.69,3498.3
21-05-2025,2312.4,1926.8,2363.9,1568.5,3589,12615,1429.2,1731.8,161.64,3525.8
22-05-2025,2299.2,1919.9,2330.7,1547.5,3551.4,12445,1409.4,1718.7,161.29,3477
23-05-2025,2315.5,1933.6,2359.2,1564.8,3599.9,12453,1426.8,1683.6,162.97,3514.6
26-05-2025,2327.2,1940.2,2394.1,1580.5,3648.7,12421,1434.8,1676.1,162.51,3537.3
27-05-2025,2327.6,1926.3,2380.2,1570.1,3640,12414,1422.1,1683.4,161.66,3498.7
28-05-2025,2303.2,1923.5,2362,1571.8,3646.3,12331,1412.9,1666.4,161.24,3497.7
29-05-2025,2294.3,1927.5,2366.7,1585.6,3655.3,12392,1417.8,1699.8,163.12,3498.1
30-05-2025,2259.1,1944.9,2348.3,1562.7,3675.1,12319,1420.9,1677.6,161.02,3463.4
02-06-2025,2266.7,1932.1,2371.6,1553.8,3679.6,12290,1413.7,1674.6,159.04,3449.8
03-06-2025,2255.7,1924.6,2352.3,1543,3644.8,12128,1405.5,1667.5,157.35,3405.2
04-06-2025,2249,1941.2,2364.5,1551.2,3626.5,12163,1423.5,1664.9,158.18,3380.9
05-06-2025,2243.5,1949.6,2376.4,1554.3,3642.6,12126,1442.4,1683.1,157.97,3371.1
06-06-2025,2245.2,1978.7,2389.8,1563.8,3656.3,12462,1443.5,1679.2,157.49,3384.2
09-06-2025,2247.9,1978.9,2393.2,1572.9,3678.9,12637,1448.8,1694.4,157.32,3421.9
10-06-2025,2218.9,1965.3,2395.2,1596,3679.8,12520,1438.5,1688.8,155.68,3462.9
11-06-2025,2208.8,1950.4,2376.4,1631.1,3684.8,12452,1448.9,1690.6,156.41,3471.9
12-06-2025,2219.4,1943.4,2332.7,1608.6,3603.9,12390,1441.6,1687.4,152.89,3434.2
13-06-2025,2214.2,1917.6,2319,1602,3587.4,12408,1427.9,1687.8,152.13,3445.7
16-06-2025,2244.8,1935.4,2327.4,1623.8,3628.7,12530,1437.8,1685.3,154.17,3496.3
17-06-2025,2264.8,1929.6,2328.6,1639.9,3622.3,12595,1431.2,1650.2,152.6,3515.3
18-06-2025,2281.4,1933.9,2297.3,1632.9,3601.5,12748,1430.1,1648,152.11,3451.4
19-06-2025,2268,1935.3,2294.2,1618.4,3621.1,12806,1433.3,1647.6,151,3424
20-06-2025,2285.7,1964.7,2306.2,1622.9,3662,12791,1466.2,1665.1,151.97,3435.7
23-06-2025,2264.1,1948.4,2275.1,1584,3583.7,12699,1456.8,1662.5,152.43,3393.6
